country,source,type,title,link,published_date,published_by,description,text
Pakistan,Dawn,Editorial,War and peace,https://www.dawn.com/news/1911734/war-and-peace,"May 18, 2025",Dawn,"Instead of constantly evoking the spectre of war, India and Pakistan should work towards peace.","WITH South Asia’s peace balanced on a knife-edge, it is important for national political leaders to remain grounded. In this context, it has been encouraging to see a slight shift in Islamabad’s position on the recent hostilities between India and Pakistan. At the start of last week, Prime Minister Shehbaz Sharif had described the recent conflict as having ‘avenged’ the 1971 war — a claim that had startled many even in Pakistan. Towards the end of the week, however, his speeches were more moderate, with the prime minister noting at one point that past wars had given the two countries “nothing but miseries” and that there now needed to be a comprehensive dialogue.  It is encouraging that there is realisation on Pakistan’s side at least that grandstanding on the recent conflict is quite pointless, and that the frictions between the two countries still need to be addressed. Former foreign minister Hina Rabbani Khar had encouraged much the same in her recent remarks in parliament. Noting that India’s defeat was not a celebratory occasion, she had said, “We must all be unapologetic as a country that celebrates a ceasefire”. After all, death and destruction are never something to cheer. Arguably, it is better not to have a war than to win one. Our political leadership must not forget this. History shows that states benefit when they are able to escape the unending cycle of hostilities and focus on how they may coexist. Pakistan’s indignation is justified in that it offered India cooperation from the start, but was met with cold rejection. The people also cannot be faulted for celebrating their armed forces’ successful defence against external belligerence. At the same time, however, both Pakistan’s leadership and public must think about how future conflicts may be avoided instead of escalating to the point of all-out war. It is only fair to expect reciprocity from the other party. The Indian government must realise the folly of a violent confrontation with Pakistan every few years. War is not some theatre with which to keep the public engaged. For better or worse, the two countries are bound by a long border and a shared history and culture. India must realise that it is detrimental for its interactions with Pakistan to be dictated by New Delhi’s constant desire to establish its hegemony in the region.  The recent hostilities have yielded little apart from establishing a dangerous ‘new normal’ that could see more missiles and munitions being traded in future conflicts. What tangible benefit can the people of either country derive from this? Instead of constantly evoking the spectre of war, the governments of both countries should work towards peace. The people of the subcontinent will one day thank them for it."
Pakistan,Dawn,Editorial,Unequal taxation,https://www.dawn.com/news/1911733/unequal-taxation,"May 18, 2025",Dawn,"PAKISTAN’S inefficient, growth-inhibiting, distortive and unjust tax system can justifiably be described as the...","PAKISTAN’S inefficient, growth-inhibiting, distortive and unjust tax system can justifiably be described as the country’s Achilles heel. Not only is it the root cause of the nation’s fiscal troubles and mounting debt, its role in the endless balance-of-payment crises, leading to continuous boom-and-bust cycles, has also proved damaging. Now, under the IMF’s oversight, the tax authorities are scrambling to meet elevated annual tax collection targets to ensure that the country achieves the primary budget surplus goal of the ongoing $7bn loan. In other words, tax targets, which were previously set to meet public sector expenditures, are now being revised to contain the burgeoning fiscal deficit and reduce the rising debt stock. The problem, however, is that our fiscal policymakers have already squeezed existing taxpayers dry and the political leadership does not appear to be able to net elements outside the system — retail, real estate, agriculture, etc — because of their political clout. For this year, the FBR had imposed Rs1.3tr worth of new taxes — mostly on salaried individuals and the corporate sector — to plug the gap between the IMF-given target and the amount it could otherwise recover. For the next year, the IMF believes the tax gap will stand at around Rs1tr, which means additional taxation would be required to meet the proposed target of Rs14.3tr in FY26. While media reports suggest that the multilateral lending agency has narrowed its focus in the new budget to concentrate mainly on additional tax measures to achieve the new target, it remains unclear if the government plans to cover this gap by extracting more from existing taxpayers or finally tighten the noose around the sacred cows. The demerits of the FBR’s tax transformation plan apart, the government is facing stiff opposition from the country’s powerful business lobbies, which include textile owners, cement producers and traders who oppose the implementation of some of the measures suggested. The government is said to be working on providing ‘tax relief’ to salaried individuals. But that would hardly be possible unless those who are not paying their dues and are, in effect, stealing from the government are brought into the tax net. This is necessary to create space for the provision of relief to those most in need of it. It is about time that the government penalised the tax evaders, instead of taking more money from the despairing salaried class."
Pakistan,Dawn,Editorial,Health crimes,https://www.dawn.com/news/1911732/health-crimes,"May 18, 2025",Dawn,"MULTAN’S Nishtar Hospital, south Punjab’s largest public-sector hospital, was in the news last year for...","MULTAN’S Nishtar Hospital, south Punjab’s largest public-sector hospital, was in the news last year for outrageous negligence that caused a patient’s death by HIV/ AIDS, while 30 others contracted the infection during dialysis. An inquiry committee set up by the provincial government had confirmed the infections at the hospital’s nephrology department; it has now proposed penalties comprising fines, censure and demotions for the facility’s senior officials, along with the removal, and “forfeiture of past one year’s service” of the Nishtar Medical University’s vice chancellor. The investigation, conducted under the Punjab Employees Efficiency, Discipline and Accountability Act, 2006, recorded grave discrepancies in supervision, protocol conformity and patient care by the VC and other accused personnel. Although delayed, this development should serve as a warning for corrupt practitioners and remind others of accountability processes. The health scandals at the hospital — in 2022, four decomposing corpses were found on its roof — are indicators of the detrimental impact of unethical medics and staff in the absence of accountability mechanisms. Scarcity of funds aggravates the predicament. Presently, Pakistan is second among nations with the sharpest rise in HIV cases in the Asia-Pacific region. This virus, stalked by shame, is already a complicated battle. We have a long way to go before societal attitudes become more compassionate towards patients, which will encourage them to report their symptoms and seek treatment. Without consistent treatment, HIV can convert into AIDS and devastate the immune system. But, other than socioeconomic forces, the scale of torturous events that frequently come to light across Pakistan, and their potential spread, imply that the virus may now be difficult to contain. It is crucial for the federal and provincial authorities to view this as a health emergency and enforce immediate preventive measures. Our medical structure should not resemble an abattoir."
Pakistan,Dawn,Editorial,Tariff reform,https://www.dawn.com/news/1911546/tariff-reform,"May 17, 2025",Dawn,Planned import policy reforms signify a major positive shift in the govt’s economic and growth strategy.,"THE planned import policy reforms to recalibrate tariffs in line with Pakistan’s industrialisation and export aims signify a major positive shift in the government’s economic and growth strategy. Prime Minister Shehbaz Sharif has approved a roadmap to drastically slash average customs tariffs from 19pc to 9.5pc in the next five years, besides eliminating decades-old distortive tariff protections for carmakers, steel producers, textiles manufacturers, the chemical sector, and others against foreign competition. Another key reform focuses on reducing the number of existing custom duty slabs from five to four, with peak tariffs lowered from 20pc to 15pc. The roadmap also envisages doing away with numerous regulatory and additional taxes on thousands of imported items to bring certainty, transparency and uniformity to cascading margins. The reforms are expected to boost exports by $5bn once the adjustments are phased in, starting with the next budget.  More importantly, the lower tariff barriers will go a long way in helping Pakistan integrate into the global economy with considerable ease. The tariff reforms should also boost our industrial competitiveness, and allow manufacturers to become part of global supply chains by giving them greater access to raw materials and semi-finished goods. Trade policy professionals generally agree that the high import taxes are a regressive form of taxation as they make businesses more inward-looking, thus creating an anti-export bias in the overall economic policy framework. Our tariff policy is a testament to that. For decades, we have imposed some of the highest tariffs, a major reason why Pakistan has failed to move to manufacturing high-quality, value-added goods. And regionally, its export-to-GDP ratio remains one of the lowest. High import tariffs and the inability to acquire goods that can support technological progress exacerbate the economic challenges. Indeed, there are concerns that lower tariffs, which Pakistan has until now used as a major source of tax revenue collection rather than for industrialisation and export growth, would lead to higher imports and, ultimately, to another balance-of-payments crisis. But such concerns are exaggerated and are being raised by those who have made money using tariff protections. There is no doubt that imports would rise but exports will grow at a much faster pace, reducing trade deficit and creating more jobs.  However, the assumption that a reformed tariff policy can do the magic on its own is misplaced. Although Pakistan’s import taxes remain higher than its peers, these have come down considerably since the early 1990s when the country embarked upon the path to economic and trade liberalisation. Yet the fall in the average tariffs since then has not translated into proportionate export growth or significant integration into the global economy. This means there also are other policies that need to be fixed along with tariffs."
Pakistan,Dawn,Editorial,Rising heat,https://www.dawn.com/news/1911545/rising-heat,"May 17, 2025",Dawn,"AS the mercury continues to rise mercilessly across Pakistan, it becomes painfully clear that climate change has hit...","AS the mercury continues to rise mercilessly across Pakistan, it becomes painfully clear that climate change has hit us hard. The country will have to endure recurring cycles of deadly heat, which will likely intensify. Each year, the toll on lives and livelihoods grows heavier, while our preparedness lags dangerously behind. While a westerly system may offer some relief next week, the immediate focus must remain on protecting vulnerable communities and strengthening long-term resilience. The Met Department has warned that temperatures will remain 4°C to 7°C above normal in many regions, with parts of southern Punjab and Sindh already experiencing highs above 45°C. In Punjab, the Provincial Disaster Management Authority has ramped up emergency measures, directing hospitals to set up dedicated heatwave counters and stock lifesaving medicines. Clean drinking water is being ensured in high-risk areas like Cholistan, and public awareness campaigns have been launched. However, in many remote and underserved areas, the state’s presence remains worryingly thin, leaving citizens to fend for themselves. Such short-term responses, while necessary, are not enough. Heatwaves are becoming a grim new normal driven by global warming. To navigate this reality, resilience must be built at both community and institutional levels. In the immediate term, citizens must follow official advisories: avoid outdoor exposure between 10am and 4pm, wear light-coloured, breathable clothing, stay hydrated, and use oral rehydration solutions to prevent dehydration. Vulnerable groups — children, the elderly, pregnant women, outdoor labourers, and those with chronic illnesses — require special attention. Employers must adjust working hours and provide shaded rest areas. Early signs of heatstroke should never be ignored; immediate cooling and professional medical care can save lives. Looking ahead, urban centres must adapt by expanding shaded public spaces, ensuring uninterrupted water supply, and enforcing labour protections during peak heat hours. Health systems, particularly in rural areas, must be strengthened to cope with rising cases of heat-related illnesses. At the policy level, climate adaptation must be treated as an urgent national priority. Investments in early warning systems, green infrastructure such as urban forests and cool roofs, the revival of traditional water reservoirs, and wide-reaching public education campaigns are critical. Heatwaves will return, each more punishing than the last. Building resilience has become a matter of survival in a dangerously warming world."
Pakistan,Dawn,Editorial,Missing link,https://www.dawn.com/news/1911544/missing-link,"May 17, 2025",Dawn,"FINANCE Minister Muhammad Aurangzeb now has much to his credit, which is why his promise that the M6 motorway will ...","FINANCE Minister Muhammad Aurangzeb now has much to his credit, which is why his promise that the M6 motorway will be completed “at all costs” gives one hope that there may be some progress on this long-awaited project in the coming financial year. “[…] We will ensure the planning ministry is fully informed of the motorway’s importance so that appropriate budgetary provisions are made,” he recently assured parliament while dwelling on the government’s development plans for fiscal 2026. It is a wonder that the M6 motorway, which will link Karachi to Sukkur, still exists only on paper. Considering the size of the port city and its importance to the national economy, Karachi ought to have been the first city to be linked to other urban and industrial centres when the motorways were conceived. Instead, in 2025, road travellers do not have access to a reliable, well-maintained, high-speed motorway that links the country to Pakistan’s main commercial hub, and must use highways in frequent need of repairs. Meanwhile, almost all the other important urban centres of the country, barring Quetta, have been connected via motorways for many years, which has greatly facilitated travel, trade and transport. Even now, six years from when it was supposed to become operational, it seems the M6 will take another few years to operationalise despite the finance minister’s sincere promises. Mr Aurangzeb revealed the authorities are still exploring funding options for the M6 project, and while international financial institutions have shown an interest in financing the motorway, there is still nothing that seems to have been firmed up. ‘Unsolicited’ proposals for the project, submitted by two firms earlier this year, seem to have been ignored by the authorities, and it seems that no real progress has been made over the past many years that would benefit road travellers. Sindh’s representatives should continue raising the issue forcefully, or the project will keep being pushed back."
Pakistan,Dawn,Editorial,Budgeting austerity,https://www.dawn.com/news/1911281/budgeting-austerity,"May 16, 2025",Dawn,The past policy of squeezing salaried classes and fully documented corporations to collect taxes will not work any longer.,"THE initial discussions between the IMF and Pakistan on the upcoming budget suggest that the multilateral agency is not going to relent on the core condition of its current $7bn financing facility: a tight fiscal policy. That was not unexpected. With the country living off repeated bailouts from the lender, it is but natural that its economic policies are tightly tied to the programme goal aimed at ensuring debt reduction and sustainability — in times of war and peace both. Starting Wednesday, the virtual technical-level discussions, which precede formal policy-level talks on the budget from May 19, have revealed tentative fiscal, inflation, growth and other targets that our policymakers will be required to meet next year to stay in the programme. Media reports say that the Fund expects Pakistan’s moribund economy to expand by 3.6pc next year, with headline consumer inflation averaging at 7.7pc, and total federal and provincial tax and non-tax revenues growing to nearly Rs20tr or 15.2pc of the economy’s size. The IMF proposals also emphasise austerity by tightening controls on current and development expenditure to reduce the budget deficit from 5.6pc of the economy’s size estimated for the present fiscal year to 5.1pc next year.  Related to this is the hefty increase suggested in primary surplus from 1pc to 1.6pc of GDP in order to ensure sustainable debt servicing and bring down the debt-to-GDP ratio from 77.6pc to 75.6pc in FY26. The next budget will also map climate relevance in adaptation, mitigation and transition to receive the IMF’s climate-related funding of $1.4bn in the next 28 months. Data for the current fiscal year shows that Pakistan is on track to meeting budget targets and other time-bound structural benchmarks agreed with the Fund. Cooperation from the provinces has proved critical in pulling off many of these goals. However, a significant increase in the revenue target proposed for next year amid a shortfall in tax revenues this year underlines the need for broadening the tax base by effectively bringing retail, real estate, agriculture and other undertaxed or untaxed areas of the economy into the net. This demands political commitment and substantial efforts by both the federal and provincial governments. The decision to pull the government out of the wheat market this year despite opposition from the rural elite, and to cut energy subsidies for powerful textile and other manufacturers, shows that the state has what it takes to make tough decisions. The past policy of squeezing the salaried classes and fully documented corporations to collect taxes will not work any longer. Failure to reform the corrupt and inefficient tax system has already taken a huge toll on ordinary people and led to large cuts in spending on the development of infrastructure crucial for future economic growth and stability."
Pakistan,Dawn,Editorial,A ‘new’ Syria,https://www.dawn.com/news/1911280/a-new-syria,"May 16, 2025",Dawn,"THE American embrace of the post-Assad Syrian regime is complete, with President Donald Trump meeting the Arab...","THE American embrace of the post-Assad Syrian regime is complete, with President Donald Trump meeting the Arab state’s interim leader Ahmed al-Sharaa in Riyadh on Wednesday, and announcing that US sanctions against Syria will be lifted. It should be remembered that not too long ago, there was a $10m US bounty on Mr Sharaa’s head, when he was more popularly known as Abu Mohammed al-Jolani, the feared head of the Al Qaeda-linked Al Nusra Front. But in geopolitics there are ‘good’ militants and ‘bad’ militants, and to the Americans, the Syrian leader clearly falls in the former category. Mr Sharaa was instrumental in overthrowing Bashar al-Assad’s brutal regime, which had long been a shared goal of the Americans, many states in Europe, as well as the Gulf Arabs. This effectively reversed the tide of Iranian and Russian influence in Syria. Therefore, the audience with Mr Trump, and the removal of sanctions, is a reward for the ex-militant’s ‘services’. Contrast this with the treatment meted out to the Afghan Taliban. The hard-line rulers of Kabul remain sanctioned by the US, and unrecognised by the global community. The Taliban are ideologically of similar stock as Ahmed al-Sharaa; but while the latter helped the US and West bring down a geopolitical foe, the former forced the US-led coalition to quit Afghanistan after a futile two-decade nation-building mission. Mr Trump also asked the Syrian ruler to recognise Israel. However, there was no word of Israel vacating Syrian territory it has occupied for decades, including the Golan Heights, and more land it seized after the Assad government fell. It is indeed positive for sanctions to be lifted, and it is hoped that this helps bring relief to the Syrian people. But the selective rebranding and ‘dry-cleaning’ of those once labelled as terrorists by the West reeks of hypocrisy and self-interest. While Mr Sharaa has promised an inclusive state, he himself remains surrounded by extremist elements. Over the past few months, there have been bloody confrontations between pro-government fighters, and members of the Alawi and Druze communities. It would be a shame for the Syrian people if the Assad autocracy were to be replaced by an extremist state. Right now there are few signs that Damascus is on the path of inclusivity and progress, regardless of the newfound confidence the US has in Syria’s current rulers."
Pakistan,Dawn,Editorial,Business of begging,https://www.dawn.com/news/1911279/business-of-begging,"May 16, 2025",Dawn,"IT is a matter of deep embarrassment that Pakistan has become an ‘exporter’ of beggars. Over 5,000 have been...","IT is a matter of deep embarrassment that Pakistan has become an ‘exporter’ of beggars. Over 5,000 have been deported from Saudi Arabia alone in the last 16 months, while others have been booted out of Iraq, the UAE, Qatar and Malaysia. These and other numbers were shared recently by the interior minister while responding to a question in parliament. He disclosed that nearly 52pc of these deportees hail from Sindh, followed by Punjab and KP. With foreign governments tightening their visa regimes and publicly shaming us by deporting such large numbers, one must ask: what is our own government doing to tackle this crisis at home? While placing over 4,000 beggars on the Exit Control List may appear as decisive action, it addresses only the symptom, not the cause. The reality is that the ‘begging mafia’ thrives not only due to governance failures but also entrenched poverty and the state’s inability to generate viable employment. With millions of beggars across the country reportedly pulling in billions per year, this is not just a social ill, it is a well-oiled economy. We must break this cycle. To begin with, a crackdown is needed on trafficking networks. If the ‘illegal’ Afghans were rounded up with such vigour, so can such trafficking rings. In addition, the government must rehabilitate those forced into begging through skill development, microfinance initiatives, and targeted social welfare programmes. It would also do well to establish vocational centres in Karachi, interior Sindh and south Punjab, where organised begging is most pronounced. The authorities must impose strict penalties on those who exploit the vulnerable for profit. Provincial governments must play their part by strengthening child protection units and launching sustained anti-begging awareness campaigns at the community level. The public should also realise that their charitable spirit is being exploited by criminals. This disgraceful ‘business’ must end."
Pakistan,Dawn,Editorial,Rebuilding trust,https://www.dawn.com/news/1911137/rebuilding-trust,"May 15, 2025",Dawn,Both countries will have to restart the dialogue process. One major step India can take would be to honour the IWT.,"AFTER the cessation of hostilities following Saturday’s US-brokered ceasefire, it will take time, effort and political will to rebuild trust between Pakistan and India. Though US President Donald Trump suggested that both states “go out and have a nice dinner together”, a dinner date is unlikely to melt away nearly eight decades of mistrust and animosity. Moreover, the Indian prime minister’s combative rhetoric in the speech to his nation on Monday also indicates that New Delhi will take a more hawkish line towards Islamabad. Narendra Modi said that a “new normal” had been established, which entailed India taking military action against so-called terrorist targets in Pakistan. Mr Modi’s bellicosity seems to stem from rising domestic criticism, particularly over American involvement in de-escalation efforts. It is hoped that better sense prevails, as this Indian strategy is a recipe for disaster, and will lead South Asia into a destructive cycle of violence.  Whether it is with the help of foreign interlocutors — which the Indians oppose — or through bilateral channels, both states will have to restart the dialogue process, if perpetual conflict is to be avoided. PM Modi said that dialogue with Pakistan will only focus on terrorism and Azad Kashmir. If these are India’s main talking points, then it should be prepared to discuss all forms of terrorism in South Asia, including attempts by New Delhi to destabilise Pakistan through acts of terrorism. Moreover, the talks should not remain limited to Azad Kashmir and should in fact include discussions on the entire internationally disputed territory. The Indian political class has taken umbrage at Donald Trump’s efforts to broker peace, with leaders saying that all disputes must be resolved under the umbrella of bilateralism, with many citing the 1972 Simla accord as the main blueprint for managing Pakistan-Indian relations. If Simla — signed between Zulfikar Ali Bhutto and Indira Gandhi — is the yardstick, then India should remember that the agreement says, in black and white, that pending the final settlement of bilateral disputes, “neither side shall alter the situation”.  The BJP government’s unilateral scrapping of Article 370 in held Kashmir has significantly altered the situation. Moreover, the Simla accord also foresees “a final settlement of Jammu and Kashmir”. Pakistan has been consistently calling for Kashmir to be discussed, but the BJP regime is not interested in talking about the dispute. Instead of a ‘new normal’ that sows the seeds of mutually assured destruction, forward thinking is needed to resolve Pakistan-India disputes. As matters cool down, small steps should be taken to rebuild confidence, and establish a less bellicose discourse. One major step India can take would be to honour the Indus Waters Treaty, as Pakistan cannot afford to have its rightful share of water blocked."
